地区	指标	地区名	指标名	2009	2010	2011	2012	2013	2014	2015	2016	2017
110000	A040A06	北京市	建筑业城镇单位就业人员平均工资	41981.0	46421.0	52455.0	61579.0	68501.0	77359.0	82251.0	89464.0	99718.0
110000	A040A08	北京市	信息传输、计算机服务和软件业城镇单位就业人员平均工资	100794.0	105560.0	116755.0	130154.0	136599.0	148828.0	159486.0	170531.0	183183.0
110000	A040A0B	北京市	金融业城镇单位就业人员平均工资	143187.0	164643.0	172621.0	184612.0	206110.0	225482.0	248320.0	239085.0	253637.0
110000	A040A0E	北京市	科学研究、技术服务和地质勘查业城镇单位就业人员平均工资	77632.0	88018.0	97658.0	106604.0	113206.0	124123.0	132339.0	139990.0	150611.0
110000	A040B06	北京市	建筑业城镇私营单位就业人员平均工资	23399.0	24633.0	29934.0	38143.0	40942.0	44602.0	45909.0	49455.0	53403.0
110000	A040B08	北京市	信息传输、计算机服务和软件业城镇私营单位就业人员平均工资	42629.0	46686.0	55164.0	68161.0	73626.0	78145.0	90724.0	110718.0	124409.0
110000	A040B0B	北京市	金融业城镇私营单位就业人员平均工资	30941.0	32689.0	36619.0	61216.0	61099.0	82994.0	111921.0	143717.0	144952.0
110000	A040B0E	北京市	科学研究、技术服务和地质勘查业城镇私营单位就业人员平均工资	31176.0	32279.0	37211.0	46245.0	55689.0	62685.0	66597.0	75227.0	79731.0
120000	A040A06	天津市	建筑业城镇单位就业人员平均工资	44374.0	53686.0	43161.0	49156.0	54095.0	59019.0	64141.0	67943.0	70649.0
120000	A040A08	天津市	信息传输、计算机服务和软件业城镇单位就业人员平均工资	59022.0	73276.0	74804.0	87458.0	102922.0	116902.0	134331.0	137440.0	151778.0
120000	A040A0B	天津市	金融业城镇单位就业人员平均工资	74068.0	89166.0	97006.0	104335.0	118448.0	118263.0	112059.0	117489.0	113813.0
120000	A040A0E	天津市	科学研究、技术服务和地质勘查业城镇单位就业人员平均工资	67825.0	80485.0	91848.0	102653.0	102610.0	113548.0	123312.0	128067.0	137969.0
120000	A040B06	天津市	建筑业城镇私营单位就业人员平均工资	26053.0	27961.0	29177.0	36283.0	39704.0	43251.0	46771.0	50372.0	49933.0
120000	A040B08	天津市	信息传输、计算机服务和软件业城镇私营单位就业人员平均工资	30810.0	37593.0	41082.0	47917.0	46580.0	61800.0	79928.0	81606.0	95320.0
120000	A040B0B	天津市	金融业城镇私营单位就业人员平均工资	na_rep	na_rep	31071.0	34213.0	43257.0	47915.0	57510.0	68436.0	81116.0
120000	A040B0E	天津市	科学研究、技术服务和地质勘查业城镇私营单位就业人员平均工资	18823.0	22570.0	29137.0	36718.0	43931.0	55406.0	60946.0	62992.0	69255.0
130000	A040A06	河北省	建筑业城镇单位就业人员平均工资	20066.0	23159.0	27425.0	31241.0	34670.0	37027.0	39182.0	42662.0	51771.0
130000	A040A08	河北省	信息传输、计算机服务和软件业城镇单位就业人员平均工资	36830.0	38840.0	46842.0	50628.0	69718.0	83469.0	93983.0	109196.0	84317.0
130000	A040A0B	河北省	金融业城镇单位就业人员平均工资	36989.0	45176.0	53190.0	60304.0	65547.0	73130.0	74795.0	75708.0	77845.0
130000	A040A0E	河北省	科学研究、技术服务和地质勘查业城镇单位就业人员平均工资	42809.0	49179.0	59318.0	58892.0	61114.0	63937.0	69744.0	74020.0	81947.0
130000	A040B06	河北省	建筑业城镇私营单位就业人员平均工资	16456.0	19591.0	22670.0	26586.0	28852.0	31565.0	33813.0	36976.0	38191.0
130000	A040B08	河北省	信息传输、计算机服务和软件业城镇私营单位就业人员平均工资	15696.0	17894.0	18638.0	25719.0	27827.0	32033.0	34832.0	37335.0	42182.0
130000	A040B0B	河北省	金融业城镇私营单位就业人员平均工资	17960.0	19627.0	21833.0	25611.0	29054.0	32544.0	34564.0	37756.0	41474.0
130000	A040B0E	河北省	科学研究、技术服务和地质勘查业城镇私营单位就业人员平均工资	19553.0	20230.0	22348.0	28733.0	31978.0	34841.0	37431.0	42141.0	42280.0
140000	A040A06	山西省	建筑业城镇单位就业人员平均工资	21912.0	25936.0	30399.0	36538.0	36719.0	40504.0	42494.0	46632.0	50384.0
140000	A040A08	山西省	信息传输、计算机服务和软件业城镇单位就业人员平均工资	30912.0	33916.0	35697.0	38562.0	49299.0	56094.0	60160.0	64686.0	77870.0
140000	A040A0B	山西省	金融业城镇单位就业人员平均工资	35447.0	47037.0	55125.0	62678.0	67729.0	74778.0	75620.0	75683.0	80556.0
