地区,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
北京市,29.8,35.1,26.8,20.3,24.81,39.5,26.81,23.1,21.84,34.2
天津市,13,18.9,12.8,11.37,14.64,32.94,15.39,9.2,15.24,18.3
河北省,138.3,208.3,135.1,106.16,175.86,235.53,157.15,138.9,141.16,161
山西省,130.2,134.1,94,111.01,126.55,106.25,124.34,91.5,85.76,87.4
内蒙古自治区,309.9,426.5,537,537.79,959.81,510.25,419,388.5,378.15,412.1
辽宁省,186.3,331.6,179,145.93,463.17,547.3,294.79,606.7,170.96,266
吉林省,394.4,488.8,331.3,306.03,607.4,460.47,315.89,686.7,298.04,332
黑龙江省,742.5,843.7,814.1,944.34,1419.58,841.41,629.48,853.5,989.61,462
上海市,34,61,64.1,47.15,28.03,33.9,20.72,36.8,41.57,37
江苏省,392.9,741.7,582.1,399.34,283.53,373.33,492.4,383.5,400.31,378
浙江省,895.3,1323.3,1407.1,1132.15,931.34,1444.79,744.96,1398.6,931.35,855.2
安徽省,784.9,1245.2,914.1,778.48,585.59,701,602.25,922.8,733.1,699.3
福建省,1055.6,2109,1325.9,1219.62,1151.9,1511.44,774.85,1652.7,800.81,1036.9
江西省,1655.1,2221.1,2001.2,1631.81,1423.99,2174.36,1037.88,2275.5,1166.91,1356.2
山东省,225.6,220.3,168.4,148.44,291.7,274.3,347.63,309.1,284.95,328.7
河南省,423.1,337.3,287.2,283.36,213.07,265.54,327.97,534.9,328.77,371.3
湖北省,1248.8,1498,1015.6,914.29,790.15,813.88,757.54,1268.7,825.28,1033.9
湖南省,1912.4,2196.6,1919.3,1799.43,1581.97,1988.94,1126.94,1906.6,1400.47,1600
广东省,1786.6,2458.6,1933.4,1718.45,2263.17,2026.55,1471.26,1998.8,1613.68,2206.8
广西壮族自治区,2388,2178.6,2433.6,1990.9,2057.33,2087.4,1350.02,1823.6,1484.31,2282.5
海南省,383.9,489.9,198.2,383.51,502.11,364.31,484.1,479.8,480.71,419.1
重庆市,656.1,604.9,456.2,642.58,474.35,476.89,514.58,464.3,455.92,576.9
四川省,2467.1,2340.9,2220.5,2557.66,2470.27,2892.36,2239.49,2575.3,2332.16,2489.9
贵州省,1051.5,1066.1,1153.7,1213.12,759.44,974.02,626.02,956.5,910.03,1140.7
云南省,2202.6,2088.9,1871.9,1726.63,1706.69,1689.77,1480.2,1941.4,1576.6,2314.5
西藏自治区,4749.9,4642.2,3853,4416.3,4415.74,4196.35,4402.71,4593,4029.16,4560.2
陕西省,449.1,271.5,333.4,351.64,353.78,390.49,604.42,507.5,416.49,304
甘肃省,238.9,168.4,164.8,198.38,268.9,266.95,242.21,215.2,209.02,187.5
青海省,785.7,612.7,589.3,793.86,645.61,895.22,733.12,741.1,895.11,658.1
宁夏回族自治区,10.8,9.6,9.2,10.07,11.4,10.81,8.76,9.3,8.42,9.2
新疆维吾尔自治区,1018.6,1093.4,930.3,726.93,955.99,900.63,885.65,1113.1,754.31,815.6
